None	2022-04-05-19-03-34	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 100, "decay": 0.1, "scheduler_step": 1000, "retrain": true}
None	2022-04-05-19-53-52	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 1, "decay": 0.1, "scheduler_step": 1000, "retrain": true}
None	2022-04-05-19-55-19	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 1, "decay": 0.1, "scheduler_step": 1000, "retrain": true}
None	2022-04-05-19-57-45	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 1, "decay": 0.1, "scheduler_step": 1000, "retrain": true}
None	2022-04-05-19-58-44	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 1, "decay": 0.1, "scheduler_step": 1000, "retrain": true}
None	2022-04-05-20-01-14	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 1, "decay": 0.1, "scheduler_step": 1000, "retrain": true}
None	2022-04-05-20-10-17	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "SGD", "hidden_lst": [30, 30, 30], "lr": 0.01, "epoch": 100000, "decay": 0.1, "scheduler_step": 10000, "retrain": true}
None	2022-04-05-20-10-39	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [30, 30, 30], "lr": 0.01, "epoch": 100000, "decay": 0.1, "scheduler_step": 10000, "retrain": true}
None	2022-04-05-20-11-12	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [30, 30], "lr": 0.01, "epoch": 100000, "decay": 0.1, "scheduler_step": 10000, "retrain": true}
None	2022-04-06-10-30-29	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "SGD", "hidden_lst": [50], "lr": 0.01, "epoch": 10000, "decay": 0.1, "scheduler_step": 10000, "retrain": true}
None	2022-04-06-11-30-40	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 10000, "decay": 0.1, "scheduler_step": 10000, "retrain": true}
2022-04-06-11-30-40	2022-04-06-18-36-29	{"algo": "deep_hedging", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 70000, "decay": 0.1, "scheduler_step": 10000, "retrain": false}
None	2022-04-06-23-49-29	{"algo": "fbsde", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.01, "epoch": 40000, "decay": 0.1, "scheduler_step": 40000, "retrain": false}
None	2022-04-07-09-19-22	{"algo": "fbsde", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "Adam", "hidden_lst": [50], "lr": 0.1, "epoch": 70000, "decay": 0.1, "scheduler_step": 10000, "retrain": true}
2022-04-06-23-49-29	2022-04-07-09-32-48	{"algo": "fbsde", "cost": "quadratic", "model_name": "discretized_feedforward", "solver": "SGD", "hidden_lst": [50], "lr": 0.001, "epoch": 80000, "decay": 0.1, "scheduler_step": 80000, "retrain": false}
